year,age,men,women
1993,50,246537,287906
1993,51,319573,374031
1993,52,331475,391443
1993,53,361419,437339
1993,54,383329,466550
1993,55,405061,482534
1993,56,328283,394410
1993,57,281700,333335
1993,58,214753,254111
1993,59,184723,228070
1993,60,229156,299757
1993,61,242428,311696
1993,62,275883,372345
1993,63,266672,367469
1993,64,273448,392463
1993,65,253711,368766
1993,66,217365,370156
1993,67,188832,351539
1993,68,169545,344906
1993,69,143809,303075
1993,70,119165,277678
1993,71,106334,236840
1993,72,86341,198123
1993,73,82953,201636
1993,74,73529,173909
1993,75,51188,131008
1993,76,50586,134712
1993,77,58893,156912
1993,78,70005,206922
1993,79,61787,170097
1993,80 і старше,322768,1007253
1993,Вік невідомий,NA,NA
1994,0,285432,271320
1994,1,303171,288476
1994,2,324720,308220
1994,3,337636,321312
1994,4,356740,340226
1994,5,383504,365947
1994,6,387518,370667
1994,7,407022,391539
1994,8,395274,381709
1994,9,406042,390219
1994,10,413040,398116
1994,11,381542,365915
1994,12,368044,356304
1994,13,379275,366153
1994,14,367537,355060
1994,15,365995,356128
1994,16,358077,350530
1994,17,372915,365725
1994,18,365643,364649
1994,19,363223,359763
1994,20,364647,354307
1994,21,376790,366861
1994,22,365740,352686
1994,23,349496,343939
1994,24,326750,322201
1994,25,328226,331402
1994,26,332717,330192
1994,27,338847,340503
1994,28,333120,337397
1994,29,351654,356848
1994,30,374038,382963
1994,31,385887,397323
1994,32,395856,406593
1994,33,412473,423441
1994,34,399429,415760
1994,35,395269,410803
1994,36,386591,402624
1994,37,379013,399060
1994,38,360446,380590
1994,39,371649,394690
1994,40,343347,367480
1994,41,361623,387091
1994,42,357961,382236
1994,43,355318,384000
1994,44,371822,406697
1994,45,311344,343329
1994,46,279184,310159
1994,47,266421,301662
1994,48,173973,201549
1994,49,206497,239632
1994,50,185685,217315
1994,51,242379,286557
1994,52,314173,372712
1994,53,325828,389889
1994,54,354404,435027
1994,55,375446,463545
1994,56,396494,479300
1994,57,320752,391222
1994,58,274551,330451
1994,59,208923,251561
1994,60,179135,225036
1994,61,222058,295789
1994,62,234379,307126
1994,63,267080,368097
1994,64,255929,360725
1994,65,261679,384930
1994,66,242007,361153
1994,67,206723,361355
1994,68,179104,342626
1994,69,160018,334709
1994,70,135180,293419
1994,71,111461,267749
1994,72,99135,227900
1994,73,80116,189488
1994,74,76297,191200
1994,75,67256,165732
1994,76,46401,122656
1994,77,45627,125665
1994,78,52558,145292
1994,79,61874,190419
1994,80 і старше,319915,1013689
1994,Вік невідомий,NA,NA
1995,0,264999,250881
1995,1,282728,269050
1995,2,301325,286640
1995,3,322937,306621
1995,4,336324,320094
1995,5,355133,338489
1995,6,381270,363951
1995,7,386555,369783
1995,8,406583,390814
1995,9,394892,381012
1995,10,405590,389577
1995,11,412724,397363
1995,12,380977,364926
1995,13,367630,355837
1995,14,378468,365485
1995,15,365790,353928
1995,16,364008,354636
1995,17,353787,347275
1995,18,370531,363613
1995,19,363353,361573
1995,20,361515,356396
1995,21,361085,350406
1995,22,371466,361746
1995,23,361073,349189
1995,24,346558,341636
1995,25,323306,320005
1995,26,325299,329028
1995,27,328780,327839
1995,28,335324,338452
1995,29,330000,335578
1995,30,348135,354842
1995,31,370585,381030
1995,32,381967,395382
1995,33,392688,405244
1995,34,409141,422063
1995,35,395438,413698
1995,36,391605,409367
1995,37,382141,400655
1995,38,375108,397657
1995,39,356211,378760
1995,40,366985,392701
1995,41,338793,365359
1995,42,356515,384802
1995,43,353204,380596
1995,44,350558,382193
1995,45,366059,404425
1995,46,306386,341017
1995,47,274290,307905
1995,48,261590,299820
1995,49,170755,200335
1995,50,202355,237874
1995,51,182015,215933
1995,52,237245,284336
1995,53,307444,370264
1995,54,318699,387022
1995,55,345932,431039
1995,56,366257,458768
1995,57,385897,474187
1995,58,311679,386677
1995,59,266392,326221
1995,60,201835,248014
1995,61,172572,221408
1995,62,213872,290765
1995,63,225427,301594
1995,64,257201,362546
1995,65,244176,352670
1995,66,249257,375850
1995,67,229704,352061
1995,68,195001,351172
1995,69,168800,332133
1995,70,149839,322754
1995,71,126176,282282
1995,72,103450,256215
1995,73,91806,217843
1995,74,73765,179803
1995,75,69499,179504
1995,76,61195,156439
1995,77,41808,113371
1995,78,40625,115971
1995,79,46474,132742
1995,80 і старше,317800,1030938
1995,Вік невідомий,NA,NA
1996,0,250479,236676
1996,1,263180,249512
1996,2,281100,267414
1996,3,299949,285344
1996,4,321683,305396
1996,5,335594,319309
1996,6,353807,337163
1996,7,379412,362256
1996,8,385840,368925
1996,9,406427,390389
1996,10,394652,380500
1996,11,405397,389242
1996,12,412510,396778
1996,13,380570,364009
1996,14,367145,355330
1996,15,377661,364968
1996,16,363860,352346
1996,17,360430,351477
1996,18,352000,345168
1996,19,368454,361534
1996,20,362455,359317
1996,21,359047,353446
1996,22,356200,346177
1996,23,366709,358266
1996,24,357901,347047
